Result,arc_length,
35.169,1.6492,40.669
35.165,1.6511,40.665
35.162,1.653,40.662
35.159,1.6549,40.659
35.156,1.6568,40.656
35.148,1.6587,40.648
35.135,1.6606,40.635
35.122,1.6625,40.622
35.108,1.6644,40.608
35.095,1.6663,40.595
35.082,1.6682,40.582
35.069,1.6701,40.569
35.052,1.672,40.552
35.036,1.6739,40.536
35.019,1.6758,40.519
35.002,1.6777,40.502
34.985,1.6796,40.485
34.968,1.6815,40.468
34.945,1.6834,40.445
34.908,1.6853,40.408
34.871,1.6872,40.371
34.835,1.6891,40.335
34.798,1.691,40.298
34.761,1.6929,40.261
34.724,1.6948,40.224
34.676,1.6967,40.176
34.626,1.6986,40.126
34.577,1.7005,40.077
34.529,1.7024,40.029
34.481,1.7043,39.981
34.434,1.7062,39.934
34.379,1.7081,39.879
34.286,1.71,39.786
34.194,1.7119,39.694
34.102,1.7138,39.602
34.036,1.7157,39.536
33.972,1.7176,39.472
33.909,1.7195,39.409
33.845,1.7214,39.345
33.781,1.7233,39.281
33.717,1.7252,39.217
33.653,1.7271,39.153
33.589,1.729,39.089
33.526,1.7309,39.026
33.447,1.7328,38.947
33.37,1.7347,38.87
33.29,1.7366,38.79
33.21,1.7385,38.71
33.129,1.7404,38.629
33.049,1.7423,38.549
32.969,1.7442,38.469
32.887,1.7461,38.387
32.787,1.748,38.287
32.691,1.7499,38.191
32.599,1.7518,38.099
32.512,1.7537,38.012
32.428,1.7556,37.928
32.349,1.7575,37.849
32.256,1.7594,37.756
32.163,1.7613,37.663
32.071,1.7632,37.571
31.986,1.7651,37.486
31.928,1.767,37.428
31.869,1.7689,37.369
31.81,1.7708,37.31
31.751,1.7727,37.251
31.692,1.7746,37.192
31.633,1.7765,37.133
31.573,1.7784,37.073
31.514,1.7803,37.014
31.455,1.7822,36.955
31.396,1.7841,36.896
31.35,1.786,36.85
31.305,1.7879,36.805
31.26,1.7898,36.76
31.214,1.7917,36.714
31.169,1.7936,36.669
31.124,1.7955,36.624
31.082,1.7974,36.582
31.052,1.7993,36.552
31.025,1.8012,36.525
31.001,1.8031,36.501
30.98,1.805,36.48
30.963,1.8069,36.463
30.948,1.8088,36.448
30.938,1.8107,36.438
30.933,1.8126,36.433
30.927,1.8145,36.427
30.923,1.8164,36.423
30.919,1.8183,36.419
30.915,1.8202,36.415
30.911,1.8221,36.411
30.907,1.824,36.407
30.904,1.8259,36.404
30.9,1.8278,36.4
30.896,1.8297,36.396
30.892,1.8316,36.392
30.889,1.8335,36.389
30.896,1.8354,36.396
30.905,1.8373,36.405
30.914,1.8392,36.414
30.923,1.8411,36.423
30.932,1.843,36.432
30.941,1.8449,36.441
30.95,1.8468,36.45
30.959,1.8487,36.459
30.968,1.8506,36.468
30.977,1.8525,36.477
30.99,1.8544,36.49
31.012,1.8563,36.512
31.035,1.8582,36.535
31.059,1.8601,36.559
31.084,1.862,36.584
31.112,1.8639,36.612
31.14,1.8658,36.64
31.167,1.8677,36.667
31.192,1.8696,36.692
31.218,1.8715,36.718
31.244,1.8734,36.744
31.27,1.8753,36.77
31.296,1.8772,36.796
31.322,1.8791,36.822
31.347,1.881,36.847
31.373,1.8829,36.873
31.399,1.8848,36.899
31.436,1.8867,36.936
31.48,1.8886,36.98
31.524,1.8905,37.024
31.567,1.8924,37.067
31.611,1.8943,37.111
31.655,1.8962,37.155
31.699,1.8981,37.199
31.746,1.9,37.246
