oxycon,Ta,dens,injP,orifDiam,liftoff
21.0,1300.1,14.8,143.4,0.18,9.54
21.0,1198.8,14.8,142.7,0.18,13.31
21.0,1099.8,14.81,142.7,0.18,18.41
21.0,1001.8,14.8,142.5,0.18,24.68
21.0,953.3,14.78,142.6,0.18,32.75
21.0,849.3,14.81,142.2,0.18,66.04
21.0,799.5,14.82,142.7,0.18,91.76
21.0,1198.1,30.04,148.4,0.18,7.32
21.0,1099.4,30.03,148.3,0.18,10.06
21.0,998.4,30.03,147.0,0.18,13.51
21.0,899.3,30.02,148.9,0.18,24.66
21.0,849.8,30.02,147.1,0.18,30.84
21.0,800.4,30.03,146.4,0.18,49.14
21.0,1061.0,18.78,68.8,0.18,13.19
21.0,1099.7,18.8,143.3,0.18,15.31
15.0,1001.2,14.8,142.2,0.18,34.52
15.0,1099.8,14.8,142.5,0.18,23.57
15.0,1099.6,30.02,147.3,0.18,13.37
15.0,889.2,23.06,151.2,0.084,16.5
15.0,896.0,22.8,150.0,0.894,16.7
15.0,902.0,22.81,152.8,0.084,16.7
15.0,752.2,22.76,154.0,0.084,40.8
15.0,800.8,22.76,154.8,0.084,26.2
15.0,854.4,22.76,154.8,0.084,21.0
15.0,1009.4,22.71,153.5,0.084,12.2
15.0,1112.3,22.7,152.6,0.084,9.9
15.0,1207.3,22.74,153.6,0.084,7.6
15.0,993.9,22.85,148.7,0.091,17.4
15.0,897.0,22.75,152.3,0.0841,15.8
15.0,897.4,22.85,149.6,0.091,22.3
